,commentIds,comments
721,FDA-2013-N-0521-0127,"The Honorable Rick Jones, Senate , State of Michigan - Comment"
723,FDA-2009-N-0294-0383,Please see attached.
724,FDA-2012-D-0071-0833,"Please stop the horrible experiments on rats and other animals forced to breathe tobacco smoke for as long as six hours a day for months at a time by jamming the animals into tiny canisters and pumping concentrated cigarette smoke directly into their noses!!As your role as our government, you need to be the citizen's voice and we, as citizens, want this horrible method to stop. There are more modern and accurate non-animal methods available, such as computer simulation, tests using human cells, and clinical studies with human smokers."
725,FDA-2009-N-0294-0126,BIG TOBACCO IS A FOX IN THE HEN HOUSE.  THEY SHOULD NOT BE ON FDA SCIENIFIC ADVISORY COMMITTEE.
726,FDA-2013-N-0521-0148,"Governor Pat McCrory, State of North Carolina - Comment"
727,FDA-2009-N-0294-0218,"**Sample Message**Dear Commissioner Hamburg, I'm writing to express my belief that FDA regulation of tobacco is a great step forward in protecting our kids, and future generations, from Big Tobacco. I look forward to your agency tackling this new responsibility with vigor.I am also writing to urge you to enforce the Family Smoking Prevention and Tobacco Control Act in a way that lays the groundwork for full, constructive U.S. participation in the World Health Organization Framework Convention on Tobacco Control (WHO FCTC). As you know, the U.S. is one of the few remaining countries that have not ratified this treaty, so our citizens are not yet protected by its life-saving measures.You will need to be vigilant, as there is one glaring inconsistency between this new law and the global tobacco treaty. Because Big Tobacco has a fundamental and irreconcilable conflict of interest with public health, the treaty safeguards health policy against tobacco industry interference.Unfortunately, this new legislation gives the tobacco industry a seat at the table in setting FDA policies. Including industry representatives on the Tobacco Products Scientific Advisory Committee is akin to letting the fox guard the henhouse. The tobacco corporations will seek to exploit this loophole, just as they are trying to get governments around the world to ignore their obligations under the FCTC.I urge you to resist and bring to light any attempts by the tobacco industry to undermine FDA regulation. Along with other members of Corporate Accountability International, I will be closely following the exercise of your new authority, and thank you in advance for your work to protect our kids from Big Tobacco's dirty tricks and predatory marketing.Sincerely, Kristi Mahy"
728,FDA-2012-D-0071-1349,this is mean
729,FDA-2012-D-0071-0071,Everyone knows that tobacco causes many health issues and diseases.There is NO reason to subject mice or other animals in tobacco testing.Please modify this document to exclude the use of animals in testing.
730,FDA-2012-D-0071-1701,"Please stop all animal testing, especially for the disgusting testing of tobacco products.  "
731,FDA-2012-D-0071-0018,"In some of the horrendous tobacco tests that could be conducted, rats would be forced to breathe tobacco smoke for as long as six hours a day for months at a time by jamming the animals into tiny canisters and pumping concentrated cigarette smoke directly into their noses. no more animals should suffer and die for these archaic, inaccurate, and cruel tests on products that we already know are deadly when used as directed!ls would then be killed and their bodies dissected.  Please remove any language recommending or allowing animal tests from its draft guidance on tobacco product testing. Thank you for your time. Ed Landrum"
732,FDA-2009-N-0294-0408,"The American Association for Respiratory Care (AARC) is pleased to submit comments in response to the Food and Drug Administration’s (FDA) request for input into the approaches and actions it should consider initially to “increase the likelihood of reducing the incidence and prevalence of tobacco use and protecting the public health.  The AARC is a national professional association representing approximately 50,000 respiratory therapists.  Our comments focus on the general category of “Smoking Cessation.”BackgroundThe AARC has been actively involved in tobacco control and smoking cessation for over two decades.  We continue to partner with public health associations organized under the coalition umbrella (Tobacco Free Kids) sponsored by the American Lung Association, American Cancer Society and the American Heart Association and this past spring worked with our Coalition partners to move the successful passage of the Family Smoking Prevention and Tobacco Control Act. On the Federal level, the AARC has been committed to encouraging legislative and regulatory efforts to control tobacco use, especially among children, and has assisted with the development and sponsorship of smoking cessation programs.  A representative from our Association was also a member of the government panel charged with developing the current federal guidelines on smoking cessation as published by the Agency for Healthcare Research and Quality. Smoking Cessation and the Respiratory TherapistRespiratory therapists are on the front line in providing care to patients with asthma, emphysema, chronic bronchitis, lung cancer, and other respiratory diseases. As a highly specialized allied health discipline, respiratory therapists focus on the management and treatment of patients with acute and complex respiratory problems in a broad spectrum of settings and are acutely aware of the devastating effects due to use of tobacco products. As part of their scope of practice in assessing and developing patient care plans, respiratory therapists are in a unique position to dispense tobacco cessation counseling as they are called on daily to evaluate and administer physician-ordered treatments for tobacco-related respiratory diseases. Respiratory therapists continue to provide tobacco cessation counseling on an outpatient basis, in physicians’ offices, and in conjunction with pulmonary rehabilitation services. The respiratory therapist is a key health care provider to explain to patients how tobacco affects their pulmonary diseases.How AARC Can Help FDAAs part of its position statement on “Tobacco and Health”, the AARC recognizes its responsibility to the public by taking a strong position against cigarette smoking and the use of tobacco in any of its various forms.  In view of the evidence, which confirms the health-threatening consequences of all tobacco in both active and passive forms, the AARC is committed to the elimination of smoking and the use of any tobacco products and the inhalation of any toxic substance.One of the on-going activities of the AARC is its Tobacco Free Lifestyle Roundtable.  Our Roundtable members have created a pocket guide on quitting tobacco for patients and the public that is in final review and will soon start work on a companion guide for clinicians, to be printed by the AARC in the near future.  The Roundtable is collaborating with the Smoking Cessation Leadership Center (University of California-San Francisco) on this initiative.  As soon as the guides are available, the AARC would be glad to make them available to the FDA as a means of educating the public on the importance of smoking cessation counseling as a way to protect the public health.  Another project under consideration by our Roundtable is the creation of a teaching module on tobacco treatment and prevention specifically designed for respiratory therapy educators.  The AARC also collaborated with the Environmental Protection Agency and the American Respiratory Care Foundation in the development of continuing education web modules which include a presentation on how smoking interacts with asthma and approaches to tobacco treatment.FDA Needs to Emphasize Professional Smoking Cessation Counseling We recommend FDA add information to its website that apprises the public of the option of smoking cessation counseling as an adjunct to use of smoking cessation products.   While we applaud FDA for including the AARC in its list of outside organizations as a resource for helping patients to quit smoking, we believe there is one option that is not emphasized enough to the public and that is professional smoking cessation counseling, provided by physicians, respiratory therapists, and other qualified healthcare professionals. The AARC would be happy to work with the FDA in any capacity as it undertakes the important initiative of implementing the provisions of the Family Smoking Prevention and Tobacco Control Act.  We especially offer our help with the creation/promotion of web-based training for health care professionals.If you have any questions, please feel free to contact Anne Marie Hummel, Director Regulatory Affairs, at 703-492-9764 or hummel@aarc.org.Sincerely, Timothy R. Myers, BS, RRT-NPS President"
